id,datum,duur,Video,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V2a,V2b,V3,V4_1,V4_2,V4_3,V4_4,V4_5,V4_6,V5_1,V5_2,GL_pre,V5_4,PVV_pre,SP_pre,V5_7,V5_8,leftright,V7_1,V7_2,V7_3,V7_4,V7_5,V7_6,V7_7,V7_8,V7_9,V8_1,V8_2,V8_3,V8_4,V8_5,V8_6,V9_1,V9_2,V9_3,V9_4,V9_5,V9_6,V9_7,V9_8,V9_9,V9_10,V10_1,V10_2,V10_3,V10_4,V10_5,V10_6,V11,V12_1,V12_2,V12_3,V12_4,V12_5,V12_6,V12_7,V12_8,V12_9,V12_10,V12_11,V12_12,V13_1,V13_2,V13_3,V13_4,V13_5,V13_6,V13_7,V13_8,V14_1,V14_2,GL_post,V14_4,PVV_post,SP_post,V14_7,V14_8,V15,V16_1,V16_2,V16_3,V16_4,V16_5,V16_6,V16_7,V16_8,V16_9,V16_10,V16_11,V16_12,V16_13,V16_14,V16_15,V16_16,V16_17,V16_18,V16_open,V17_1,V17_2,V17_3,V17_4,V17_5,V17_6,V17_7,V17_8,V17_9,V17_10,V17_11,V17_12,V17_13,V17_14,V17_15,V17_16,V17_17,geslacht,geboortedatum,geboortejaar,lft4,opleiding,opl3,pcc,gemnr,provincie,werksituatie,TK2017,Geboorteland_zelf,Geboorteland_vader,Geboorteland_moeder,video_2,video_3,video_4,V4_2B,V4_5B,INDEX_CYNICISM,INDEX_POPULISM,INDEX_POPULISM2,V7_3B,V7_6B,V7_7B,INDEX_MIGRATION,INDEX_CLIMATE,INDEX_HEALTH,INDEX_AUTHO,POS_AFFECT,NEG_AFFECT,FEAR,ANGER,BIG5_O,BIG5_C,BIG5_E,BIG5_A,BIG5_N,catchvar,beeld,tekst,stem
836b17268c07181a86141842cd6ff7df,04-Jul-17,13,7,0,1,0,0,0,1,0,0,0,0,#NULL!,3,3,5,3,5,5,2,4,14,17,10,2,1,14,3,22,8,3,3,2,5,5,2,4,5,5,4,5,1,4,1,4,5,5,5,4,5,2,1,3,4,1,5,5,5,5,2,1,1,1,1,1,18,21,21,1,1,1,21,21,21,21,7,17,12,17,17,15,17,12,16,10,2,1,12,2,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,19-Jul-90,1990,1,4,2,6852,1705,25,3,4,1,1,1,3,1,3,3,4,8,8,4,4,4,2,1.00,5.00,3.00,7.00,0,10,20,21,-2,1,-4,4,2,1,0,0,0
8388a6ecdae07ac3a6cf296373641e61,29-Jun-17,20,4,0,1,0,0,0,0,0,0,0,0,#NULL!,#NULL!,3,4,2,3,4,2,4,17,17,17,17,13,17,17,16,8,2,3,3,5,4,6,3,4,4,4,3,6,3,1,4,4,5,4,3,3,4,2,2,4,2,5,5,5,4,4,1,3,4,4,5,10,9,8,3,3,3,10,10,10,20,17,18,16,17,18,18,16,18,18,18,18,16,18,18,17,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11-Nov-71,#NULL!,2,4,2,2651,1621,28,6,7,1,1,1,2,1,2,4,4,5,4,2,3,#NULL!,3,-1.00,#NULL!,2.00,#NULL!,1,4,9,10,1,1,-2,1,2,1,0,0,0
83bf0e5933f1c2df70f580a85e988091,29-Jun-17,20,7,0,1,1,1,0,0,0,0,0,0,#NULL!,2,3,5,2,4,5,2,4,14,3,1,3,19,14,3,22,7,1,4,1,5,5,6,6,6,5,4,5,6,4,3,5,4,4,4,4,4,2,4,3,2,1,5,5,5,4,4,6,1,1,1,1,1,10,10,1,1,1,1,10,1,18,18,15,15,2,5,2,15,11,2,1,2,20,11,2,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,26-Oct-73,#NULL!,2,3,1,5961,1507,31,3,3,1,1,1,3,1,3,4,4,8,11,7,5,#NULL!,#NULL!,1.00,#NULL!,#NULL!,#NULL!,0,2,4,7,-2,2,0,3,1,1,0,0,0
83d2ec73e0da4222a5285ed648e643ca,29-Jun-17,1425,5,0,1,0,1,0,0,0,0,0,0,#NULL!,2,3,4,3,2,4,2,4,17,14,15,14,12,15,15,15,4,5,5,2,2,4,4,4,2,4,5,4,4,5,4,5,3,5,1,4,5,3,4,5,1,1,5,5,5,2,4,3,3,7,11,10,10,1,14,9,9,7,5,9,9,12,16,14,11,16,15,9,16,16,11,15,11,12,12,13,12,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,08-Apr-68,#NULL!,2,4,2,2285,603,28,4,3,1,1,1,2,2,9,3,4,3,8,6,4,2,2,5.00,-1.00,-1.00,10.00,4,4,10,6,-1,4,1,4,-4,1,0,0,0
83d3da84c68a3ef39f0552e07337fb72,02-Jul-17,10,4,0,1,0,1,0,0,1,0,0,0,4,3,1,6,4,2,1,4,3,10,20,20,15,1,4,15,2,3,2,6,4,4,5,1,5,2,6,4,4,3,2,1,1,1,5,1,2,5,2,4,5,4,1,5,5,5,4,2,1,3,1,7,21,2,3,8,6,6,4,6,9,3,17,14,21,21,6,21,14,6,13,20,20,16,1,6,16,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,01-Jul-87,#NULL!,1,7,3,3533,344,26,5,4,1,1,1,2,1,2,2,2,#NULL!,#NULL!,-8,2,5,1,#NULL!,5.00,#NULL!,8.00,3,2,5,5,0,1,3,4,-4,1,0,0,0
8447c51ad08405151e37bc096cf9ea65,27-Jun-17,12,4,0,1,0,1,1,0,0,0,0,0,#NULL!,2,1,5,2,5,4,2,4,15,17,13,14,12,7,18,16,6,2,4,2,5,5,3,5,4,6,4,5,3,5,4,5,4,4,3,3,4,4,4,4,4,3,5,5,5,5,3,3,3,7,13,11,13,7,17,12,10,6,13,6,6,17,17,18,17,17,18,7,16,14,16,12,13,11,6,18,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,13-Jun-59,#NULL!,3,7,3,4207,512,28,4,1,1,1,1,2,1,2,4,4,8,13,10,4,3,1,1.00,4.00,#NULL!,9.00,4,5,14,6,1,0,0,1,-1,1,0,0,0
84497e74fcd49f76eb98736e6d286623,29-Jun-17,729,1,0,1,0,1,0,0,1,0,0,0,3,3,2,3,3,3,3,3,3,10,10,1,1,1,1,21,1,6,3,4,2,3,5,4,4,5,5,5,5,3,3,1,4,1,2,1,1,4,4,4,5,1,1,5,5,5,4,4,4,2,2,2,1,5,4,1,1,1,1,7,8,8,18,18,18,18,18,18,18,18,11,10,1,1,1,1,21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,13-Sep-27,1927,4,5,2,1852,399,27,8,1,1,1,1,1,1,1,3,3,0,-1,-1,4,2,2,2.00,1.00,3.00,10.00,0,2,4,7,3,1,3,3,-4,1,0,0,0
8450c2bc375e75dfb1020dd220c24ccf,27-Jun-17,14,8,0,1,1,0,1,0,1,0,0,0,4,4,1,1,3,1,1,1,5,19,14,1,1,6,1,21,9,7,6,2,1,4,1,5,1,1,1,1,1,1,3,4,5,4,5,1,2,4,5,2,3,1,1,4,4,4,2,1,1,1,5,4,1,1,1,3,1,1,1,1,1,1,10,16,4,21,1,18,1,20,18,15,1,1,5,1,21,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,30-Jun-93,1993,1,6,3,1112,384,27,9,1,1,1,1,3,2,9,3,5,-2,1,5,5,1,5,#NULL!,-3.00,-2.00,0.00,1,0,2,1,3,4,-2,3,-2,1,0,0,0
84603f6decedb87e9116613b84c987b7,07-Jul-17,12,3,0,1,0,0,0,0,1,0,0,0,3,#NULL!,2,4,6,6,6,6,3,20,18,8,6,1,1,21,3,7,6,6,2,3,5,3,5,3,6,5,5,4,5,2,6,5,5,5,1,4,5,5,5,1,1,2,5,5,5,5,1,2,1,10,17,1,1,10,1,1,1,1,10,1,21,8,21,21,21,21,8,21,20,15,11,15,1,4,21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,24-Oct-44,1944,4,5,2,2585,518,28,10,1,1,1,1,1,3,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,1,#NULL!,2.00,#NULL!,11.00,2,2,4,4,4,4,0,3,0,1,0,0,0
846e2d510089a32993409f19ce27a758,28-Jun-17,13,7,0,1,1,0,0,1,0,1,0,0,1,1,3,4,3,3,4,2,4,11,10,11,11,9,12,11,12,8,4,3,3,4,4,4,3,4,5,5,5,4,4,4,4,4,3,5,5,5,4,4,4,3,1,4,5,5,5,4,4,1,3,13,6,14,15,17,5,4,2,15,17,12,19,7,15,9,12,19,12,15,11,9,12,11,6,12,10,14,19,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,28-Apr-79,#NULL!,2,4,2,8701,1900,21,3,7,1,1,1,3,1,3,3,4,4,7,5,3,2,3,1.00,1.00,3.00,11.00,2,7,15,15,-1,0,0,4,1,1,0,0,0
